id_historico,mes_ano,quantidade,produto_sku,id_canal
1, 03/2013, 3.139, 1, 2
2, 04/2013, 6.328, 1, 2
3, 05/2013, 5.246, 1, 2
4, 06/2013, 5.354, 1, 2
5, 07/2013, 5.615, 1, 2
6, 08/2013, 3.862, 1, 2
7, 09/2013, 7.341, 1, 2
8, 10/2013, 5.500, 1, 2
9, 11/2013, 5.993, 1, 2
10, 12/2013, 6.108, 1, 2
11, 01/2014, 6.352, 1, 2
12, 02/2014, 5.265, 1, 2
13, 03/2014, 5.491, 1, 2
14, 04/2014, 6.859, 1, 2
15, 05/2014, 5.627, 1, 2
16, 06/2014, 8.018, 1, 2
17, 07/2014, 5.629, 1, 2
18, 08/2014, 5.345, 1, 2
19, 09/2014, 7.112, 1, 2
20, 10/2014, 8.123, 1, 2
21, 11/2014, 7.684, 1, 2
22, 12/2014, 5.220, 1, 2
23, 01/2015, 5.462, 1, 2
24, 02/2015, 6.363, 1, 2
25, 03/2015, 8.495, 1, 2
26, 04/2015, 7.190, 1, 2
27, 05/2015, 4.264, 1, 2
28, 06/2015, 6.950, 1, 2
29, 07/2015, 6.283, 1, 2
30, 08/2015, 10.147, 1, 3
31, 09/2015, 11.849, 1, 3
32, 10/2015, 10.394, 1, 3
33, 11/2015, 5.650, 1, 4
34, 12/2015, 6.332, 1, 4
35, 01/2016, 5.810, 1, 4
36, 02/2016, 7.261, 1, 4
37, 03/2016, 9.621, 1, 4
38, 04/2016, 7.165, 1, 4
39, 05/2016, 8.660, 1, 4
40, 06/2016, 11.279, 1, 2
41, 07/2016, 11.468, 1, 2
42, 08/2016, 11.499, 1, 2
43, 09/2016, 12.913, 1, 2
44, 10/2016, 8.789, 1, 3
45, 11/2016, 7.521, 1, 3
46, 12/2016, 15.593, 1, 1
47, 01/2017, 10.333, 1, 1
48, 02/2017, 16.920, 1, 1
49, 03/2017, 13.820, 1, 1
50, 04/2017, 12.812, 1, 1
51, 05/2017, 14.062, 1, 1
52, 06/2017, 14.532, 1, 1
53, 07/2017, 9.026, 1, 1
54, 08/2017, 12.956, 1, 3
55, 09/2017, 15.940, 1, 3
56, 10/2017, 11.920, 1, 3
57, 11/2017, 13.437, 1, 3
58, 12/2017, 14.796, 1, 3
59, 01/2018, 12.023, 1, 3
60, 02/2018, 11.728, 1, 3
61, 03/2018, 14.398, 1, 3
62, 04/2018, 11.320, 1, 3
63, 05/2018, 12.741, 1, 3
64, 06/2018, 11.162, 1, 3
65, 07/2018, 9.474, 1, 2
